card_sku_id,date,sales_price_max,direct_low,set_name,rarity,condition
4394922,2025-03-31,0.0,5.68,Ikoria: Lair of Behemoths,M,Lightly Played
24087,2025-04-17,0.0,1.91,Champions of Kamigawa,U,Near Mint
4385165,2025-04-26,0.83,2.47,Commander 2020,R,Near Mint
5726969,2025-05-07,7.41,8.49,Dominaria United,M,Near Mint Foil
4283371,2025-04-13,2.98,2.75,Theros Beyond Death,L,Near Mint Foil
3850341,2025-04-23,1.11,1.11,Guilds of Ravnica,M,Near Mint
6912315,2025-04-11,1.04,1.04,Phyrexia: All Will Be One,L,Near Mint Foil
1185727,2025-04-08,1.48,1.49,Magic Modern Event Deck,R,Lightly Played
3145863,2025-04-29,0.48,0.56,Eternal Masters,R,Lightly Played
4447408,2025-04-16,0.0,0.86,Core Set 2021,M,Near Mint
4154139,2025-03-31,1.45,1.98,Commander 2019,U,Lightly Played
4687963,2025-04-29,0.0,18.4,Secret Lair Drop Series,R,Near Mint
6669062,2025-03-30,1.81,2.1,The Brothers' War,R,Lightly Played
4692285,2025-04-19,0.0,6.99,Kaldheim,R,Near Mint Foil
7446161,2025-03-29,3.29,2.82,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,R,Near Mint Foil
7439888,2025-03-21,11.12,11.12,The Lost Caverns of Ixalan,M,Near Mint
1185672,2025-03-23,0.95,1.69,Magic Modern Event Deck,U,Lightly Played
6698891,2025-05-04,7.57,7.57,The Brothers' War: Retro Frame Artifacts,M,Near Mint
5465693,2025-04-28,7.55,7.55,Streets of New Capenna,R,Near Mint
371807,2025-05-04,10.98,10.98,Torment,R,Lightly Played
1270367,2025-03-15,0.0,7.47,Commander 2014,R,Lightly Played
3201601,2025-04-13,0.5,0.58,Kaladesh,M,Lightly Played
7457675,2025-03-29,6.14,5.66,Universes Beyond: Doctor Who,R,Near Mint
364590,2025-04-19,0.0,1.05,Revised Edition,R,Lightly Played
7358223,2025-04-01,4.2,5.07,Wilds of Eldraine,M,Lightly Played
3200539,2025-03-31,4.22,11.67,Kaladesh,R,Near Mint
7507337,2025-04-28,7.95,8.19,Universes Beyond: Jurassic World Collection,R,Near Mint
4869704,2025-04-22,0.0,0.68,Strixhaven: School of Mages,R,Lightly Played
6787674,2025-04-13,12.88,12.72,Dominaria Remastered,M,Near Mint
6954115,2025-04-03,2.72,2.74,Commander: Phyrexia: All Will Be One,M,Near Mint
4154743,2025-03-28,0.66,0.66,Commander 2019,M,Near Mint
7173115,2025-04-16,3.2,2.95,Commander: The Lord of the Rings: Tales of Middle-earth,M,Near Mint
4509783,2025-05-08,0.0,2.24,Double Masters,U,Lightly Played Foil
3468333,2025-03-13,0.0,12.99,Iconic Masters,M,Lightly Played
4509778,2025-05-01,1.84,1.84,Double Masters,U,Lightly Played
372359,2025-04-12,0.0,0.91,Legions,U,Lightly Played
3192378,2025-04-04,0.7,0.71,Conspiracy: Take the Crown,U,Lightly Played
414430,2025-05-03,0.92,0.92,Mirrodin Besieged,R,Lightly Played
5075449,2025-04-09,5.49,3.54,Adventures in the Forgotten Realms,R,Near Mint Foil
7170190,2025-03-25,15.58,16.14,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,M,Near Mint
4510429,2025-03-27,4.25,5.36,Double Masters,U,Near Mint
5071121,2025-04-23,0.0,0.68,Adventures in the Forgotten Realms,U,Lightly Played Foil
4275350,2025-03-31,3.7,6.99,The List Reprints,M,Near Mint
1043297,2025-03-16,1.91,4.48,Return to Ravnica,R,Lightly Played
7046236,2025-04-05,4.15,4.57,March of the Machine,M,Near Mint
7076675,2025-04-22,1.79,0.7,Commander: March of the Machine,R,Near Mint
4052605,2025-03-14,35.0,38.5,Modern Horizons,R,Lightly Played
4953009,2025-05-09,4.5,4.84,Modern Horizons 2,R,Near Mint
7201631,2025-03-13,8.47,8.1,Commander: The Lord of the Rings: Tales of Middle-earth,R,Near Mint
7292216,2025-04-01,12.7,11.06,Commander Masters,R,Near Mint
6709550,2025-03-23,0.0,0.86,The Brothers' War,R,Near Mint
383552,2025-03-22,17.5,20.58,Worldwake,M,Lightly Played
4266233,2025-03-14,3.53,3.44,The List Reprints,U,Lightly Played
6971504,2025-04-28,1.93,1.93,The List Reprints,R,Near Mint
5476589,2025-03-30,0.75,0.9,Commander Legends: Battle for Baldur's Gate,R,Near Mint Foil
5769816,2025-05-02,0.0,2.58,Dominaria United,U,Lightly Played Foil
5649516,2025-04-06,8.13,8.09,Commander Legends: Battle for Baldur's Gate,M,Lightly Played Foil
19532,2025-03-31,0.0,,Weatherlight,U,Near Mint
22179,2025-04-09,5.5,,Odyssey,U,Near Mint
1042854,2025-03-21,11.99,12.0,Return to Ravnica,R,Lightly Played
5157257,2025-03-19,4.0,4.43,Innistrad: Midnight Hunt,R,Lightly Played
7177280,2025-03-23,5.95,5.95,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,R,Near Mint
4315308,2025-04-23,2.5,4.3,Theros Beyond Death,R,Near Mint
370674,2025-04-13,0.0,1.04,Apocalypse,U,Lightly Played
5713449,2025-04-10,2.17,2.13,Double Masters 2022,C,Near Mint
4004092,2025-04-03,0.0,2.99,War of the Spark,M,Lightly Played
4640916,2025-04-29,5.09,4.67,Commander Legends,R,Near Mint
7438054,2025-04-23,14.03,14.03,Commander: The Lord of the Rings: Tales of Middle-earth,R,Near Mint Foil
5698473,2025-04-24,0.73,0.73,Double Masters 2022,R,Near Mint
7500154,2025-04-08,0.62,1.34,The Lost Caverns of Ixalan,M,Lightly Played
5534119,2025-03-18,0.0,0.76,Commander: Streets of New Capenna,R,Lightly Played
5709099,2025-04-14,3.73,4.95,Double Masters 2022,M,Near Mint
4370803,2025-03-28,9.61,9.61,Commander 2020,R,Near Mint
1044618,2025-04-29,2.18,2.53,Return to Ravnica,U,Lightly Played
3450417,2025-03-30,0.0,13.65,Commander 2017,R,Lightly Played
367305,2025-03-20,1.55,1.55,Homelands,R,Lightly Played
4270588,2025-05-09,49.99,49.99,The List Reprints,U,Near Mint
3449179,2025-04-11,0.0,2.99,Commander 2017,U,Lightly Played
7203566,2025-04-11,0.88,0.81,Commander: The Lord of the Rings: Tales of Middle-earth,C,Near Mint
4886407,2025-04-02,0.51,,Commander 2021,R,Lightly Played
4662901,2025-04-02,1.09,1.09,Commander Legends,U,Lightly Played
4379870,2025-04-25,34.99,,Ikoria: Lair of Behemoths,R,Lightly Played Foil
7143831,2025-03-16,3.65,3.65,March of the Machine: The Aftermath,R,Near Mint
7282303,2025-04-15,9.99,9.97,Commander Masters,M,Near Mint
4711249,2025-04-14,1.47,1.48,Kaldheim,R,Lightly Played
7076130,2025-04-13,7.86,7.72,Commander: March of the Machine,R,Near Mint
3043858,2025-03-17,0.79,0.79,Oath of the Gatewatch,M,Lightly Played
1278150,2025-03-27,0.88,0.87,Fate Reforged,T,Lightly Played
4270438,2025-03-30,2.52,2.99,The List Reprints,U,Near Mint
1097754,2025-03-25,1.1,1.87,Magic 2014 (M14),R,Near Mint
364590,2025-03-22,0.0,1.0,Revised Edition,R,Lightly Played
4458836,2025-04-13,1.9,2.85,Core Set 2021,R,Near Mint
7535597,2025-04-17,0.99,0.52,Commander: The Lost Caverns of Ixalan,M,Near Mint
7355808,2025-04-06,0.0,0.88,Wilds of Eldraine,R,Lightly Played Foil
6676022,2025-03-29,0.5,0.46,The Brothers' War,C,Near Mint Foil
6765955,2025-04-23,2.96,2.96,Jumpstart 2022,R,Near Mint
6928000,2025-03-12,8.97,8.8,Phyrexia: All Will Be One,M,Near Mint
1229087,2025-04-01,1.0,0.57,Magic 2015 (M15),R,Lightly Played
4660284,2025-04-08,0.0,2.49,Commander Legends,C,Near Mint Foil
4543028,2025-03-13,3.61,3.61,Zendikar Rising,R,Near Mint
